country,sector,restaurant_name,n
Australia,formal,Oporto,1
Australia,informal,"Casa Nostra Ristorante",7
Australia,informal,Yuzu&co,3
Australia,informal,"Otto Ristorante Brisbane",3
Australia,informal,"Jackpot Dining",3
Australia,informal,"Creole Soul Kitchen",3
Australia,informal,"Sushi Edo",2
Australia,informal,"Royal Kebab",2
Australia,informal,"Pineapple Hotel",2
Australia,informal,"Norman Hotel",2
Australia,informal,"Boss Hogg's",2
Australia,informal,"remy's",1
Australia,informal,"Zingara's Kitchen",1
Australia,informal,"Whisk and Ladle",1
Australia,informal,"Up Shot Expresso",1
Australia,informal,"Two Teaspoons",1
Australia,informal,"Turbans and Cowboys",1
Australia,informal,"Tuk Chop",1
Australia,informal,"Top Wok Chinese Restaurant",1
Australia,informal,"The London Club - CLOSED",1
Australia,informal,"Sunrise Boulevard Cafe",1
Australia,informal,"Six Acres Restaurant",1
Australia,informal,"Sichuan Bang Bang",1
Australia,informal,"Shun Noodle Bar",1
Australia,informal,"Sea Fuel",1
Australia,informal,"Roti Place",1
Australia,informal,"Rikyu Japanese Restaurant",1
Australia,informal,Nine-T-Nine,1
Australia,informal,"Nickel Kitchen & Bar - CLOSED",1
Australia,informal,Merlo,1
Australia,informal,"Mamaku Kitchen",1
Australia,informal,"Madders Brothers Patisserie",1
Australia,informal,"Lucky Egg",1
Australia,informal,"Lokal + Co",1
Australia,informal,"Khot Thai",1
Australia,informal,"Hello Harry The Burger Joint (Portside)",1
Australia,informal,"Greenbank Asian Kitchens",1
Australia,informal,"Glasshouse Bar",1
Australia,informal,"Fromage the Cow",1
Australia,informal,"Fish's Seafood Market",1
Australia,informal,"Finn McCool's",1
Australia,informal,"Eiffel Restaurant",1
Australia,informal,"Doughnut Time",1
Australia,informal,"Corretto Cafe & Bar International",1
Australia,informal,"Comuna Cantina",1
Australia,informal,"Chu the Phat",1
Australia,informal,"Chop Chop Sushi",1
Australia,informal,"Cafe 63",1
Australia,informal,"Blockhouse coffee + small bar",1
Australia,informal,"Badminton Brew",1
Australia,informal,"Aviation Pier Cafe & Bar",1
Australia,informal,"Ambrosia & Co",1
Australia,informal,"AJO'",1
Australia,informal,"5 Boroughs",1
India,informal,"Shiv Sagar",6
India,informal,Badshah,5
India,informal,"The Bohri Kitchen",3
India,informal,Peshawri,3
India,informal,"GVK Lounge",3
India,informal,"Chai Pe Charcha",3
India,informal,"Samrat Veg Restaurant",2
India,informal,"Rivea, Taj Santacruz",2
India,informal,"Mockingbird Cafe Bar",2
India,informal,Mabruk,2
India,informal,"White Rose Cafe",1
India,informal,"Warehouse Kitchen",1
India,informal,"True Tramm Trunk",1
India,informal,"Tiffin Box Etc - Saki Naka",1
India,informal,"Thyme Bistro",1
India,informal,"The Village Restaurant",1
India,informal,"The Fusion Kitchen",1
India,informal,"The Beer Cafe",1
India,informal,"The American Joint",1
India,informal,"Tea & Conversations",1
India,informal,Tatami,1
India,informal,"TAP Resto Bar",1
India,informal,Stadium,1
India,informal,"Spice Cot",1
India,informal,Shabri,1
India,informal,"R'Adda",1
India,informal,"Pride Restaurant & Bar",1
India,informal,"Pop Tates",1
India,informal,"Oye Kake",1
India,informal,"Only Parathas",1
India,informal,"Mumbai 90",1
India,informal,"Ministry of salads",1
India,informal,"Mi Favorito",1
India,informal,"Janata Lunch Home Restaurant & Bar",1
India,informal,Imbiss,1
India,informal,"Glocal Junction",1
India,informal,Gajalee,1
India,informal,"Food Inn",1
India,informal,"Farzi Cafe",1
India,informal,"East Asian Spice Trail",1
India,informal,"Dishkiyaoon Restaurant",1
India,informal,"Delhi Highway",1
India,informal,Deewaan-E-Khaas,1
India,informal,Corleone,1
India,informal,Chetana,1
India,informal,"Capital Social",1
India,informal,"Cafe Mezzuna",1
India,informal,Bastian,1
India,informal,Balaji,1
India,informal,"Ark Vegetarian Fine Dine",1
India,informal,Aaswad,1
