country,sector,platform,pattern,currency,n_restaurants_ge2,n_snapshots,distinct_urls,earliest,latest,cdx_status,sample_url,sample_ts,sample_kb,sample_price_hits,sample_json_ld,sample_next_data,sample_status
Brazil,formal,tripadvisor BR,tripadvisor.com.br/Restaurant_Review*,BRL,2860,30000,22219,20180101,20260311,truncated,https://www.tripadvisor.com.br/Restaurant_Review-g1012170-d12616997-Reviews-or10-Made_in_Bresil_Bistro_Cafe-Caldas_Novas_State_of_Goias.html,20220216220023,1320,0,Y,N,ok
Brazil,formal,ifood SP,ifood.com.br/delivery/sao-paulo-sp/*,BRL,4853,30000,18977,20180815,20260526,truncated,https://www.ifood.com.br/delivery/sao-paulo-sp/delicias-brasileiras-vila-londrina/95f33a90-cd32-439a-9cbd-d79646067a6b,20201023223927,,,,,error:HTTP 503
Brazil,formal,ifood RJ,ifood.com.br/delivery/rio-de-janeiro-rj/*,BRL,3760,27556,20265,20180815,20260524,ok,https://www.ifood.com.br/delivery/rio-de-janeiro-rj/tasca-filho-da-mae-barra-da-tijuca/753accc4-bf42-4c96-8529-4ff7bf55d4b3,20250123042921,43,5,Y,Y,ok
Brazil,formal,rappi BR,rappi.com.br/restaurantes/*,BRL,4885,30000,20990,20180829,20260520,truncated,https://www.rappi.com.br/restaurantes/900010394-allfry,20260209082037,,,,,error:HTTP 503
Brazil,formal,ubereats BR,ubereats.com/br/*,BRL,4590,30000,22641,20200312,20260531,truncated,https://www.ubereats.com/br-en/dish/mossor%C3%B3-rn/carne-asada,20210620010457,776,218,Y,N,ok
Germany,formal,tripadvisor DE,tripadvisor.de/Restaurant_Review*,EUR,2972,30000,22033,20180103,20260513,truncated,https://www.tripadvisor.de/Restaurant_Review-g1034759-d10124279-Reviews-Chartier-Beaumont_Alberta.html,20210712172708,,,,,error:HTTP 503
Germany,formal,lieferando,lieferando.de/speisekarte/*,EUR,6464,30000,19054,20210202,20260531,truncated,https://www.lieferando.de/speisekarte/chinatown-chinesisches-restaurant,20231003071258,617,102,Y,Y,ok
Germany,formal,wolt DE,wolt.com/de/deu/*,EUR,4358,30000,19164,20200924,20260530,truncated,https://wolt.com/de/deu/berlin/restaurant/hoa-rong-restaurant,20240528170118,920,50,Y,N,ok
Germany,formal,ubereats DE,ubereats.com/de/*,EUR,2588,30000,23670,20180121,20260531,truncated,https://www.ubereats.com/de/category/berlin-be/ice-cream-and-frozen-yogurt,20241001174905,,,,,error:HTTP 503
Germany,formal,yelp DE,yelp.de/biz/*,EUR,5536,30000,22981,20180101,20251129,truncated,https://www.yelp.de/biz/%E3%82%AC%E3%83%81%E3%83%9E%E3%83%A4-%E7%A5%9E%E4%BF%9D%E7%94%BA-%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA?page_src=related_bizes,20190802085949,372,0,Y,N,ok
South Africa,formal,tripadvisor ZA,tripadvisor.co.za/Restaurant_Review*,ZAR,2744,30000,21540,20180101,20260310,truncated,https://www.tripadvisor.co.za/Restaurant_Review-g1066443-d14018038-Reviews-Lawson_ThreeF_Manse_Honten-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,20190930170442,1229,16,Y,N,ok
South Africa,formal,mrdfood,mrdfood.com/*,ZAR,5966,30000,7892,20180224,20251212,truncated,https://www.mrdfood.com/food-delivery/restaurant/freebird-canal-walk_century-city/14490,20210122172120,,,,,error:HTTP 503
South Africa,formal,ubereats ZA,ubereats.com/za/*,ZAR,1845,13850,9816,20200415,20260529,ok,https://www.ubereats.com/za/store/sandwich-baron-meyersdal/UZ8kkbxVTOSTrRf-d2Sk5Q,20220521065844,742,6,Y,N,ok
South Africa,formal,eatout ZA,eatout.co.za/listings/*,ZAR,0,0,0,,,empty,,,,,,,
