/Users/erwenchen/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Historical HTML scraper — 1 target(s)
per_period=20, max_per_target=500


======================================================================
  Germany:lieferando  (lieferando.de/speisekarte/*)
======================================================================
  Querying CDX (distributed, per_period=20, max=500) …
  Found 440 candidate snapshots
  [1/440] 20210301 https://www.lieferando.de/speisekarte/aendre … 0 items
  [2/440] 20210302 https://www.lieferando.de/speisekarte/al-giardino-zum-stern … 0 items
  [3/440] 20210228 https://www.lieferando.de/speisekarte/al-mundo-cafe-und-restaurant … 0 items
  [4/440] 20210302 https://www.lieferando.de/speisekarte/allergretto … 0 items
  [5/440] 20210228 https://www.lieferando.de/speisekarte/aloha-poke-bremen … 0 items
  [6/440] 20210227 https://www.lieferando.de/speisekarte/aloha-poke-in-unterbilk … 0 items
  [7/440] 20210302 https://www.lieferando.de/speisekarte/american-burger-more … 0 items
  [8/440] 20210302 https://www.lieferando.de/speisekarte/an-banh-mi-ackerstr … 0 items
  [9/440] 20210306 https://www.lieferando.de/speisekarte/an-hoang-asiastuebchen-magdeburg … 0 items
  [10/440] 20210228 https://www.lieferando.de/speisekarte/anboard-pizzeria-bar … 0 items
  [11/440] 20210302 https://www.lieferando.de/speisekarte/aptera … 0 items
  [12/440] 20210301 https://www.lieferando.de/speisekarte/ararat-grill-warendorf-48231 … 0 items
  [13/440] 20210306 https://www.lieferando.de/speisekarte/arethussa … 0 items
  [14/440] 20210214 https://www.lieferando.de/speisekarte/asia-china-imbiss-eurasia-duesse … 0 items
  [15/440] 20210306 https://www.lieferando.de/speisekarte/asia-restaurant-golden-lotus … 0 items
  [16/440] 20210302 https://www.lieferando.de/speisekarte/asia-tam-erfurt … 0 items
  [17/440] 20210306 https://www.lieferando.de/speisekarte/augenweide … 0 items
  [18/440] 20210218 https://www.lieferando.de/speisekarte/bahalo-echt-griechisch … 0 items
  [19/440] 20210202 https://www.lieferando.de/speisekarte/bazis-schlemmerkucherl-muenchen- … 0 items
  [20/440] 20210301 https://www.lieferando.de/speisekarte/bistro-cockpit-reichelsheim … 0 items
  [21/440] 20210516 https://www.lieferando.de/speisekarte/123-pizzeria-1 … 0 items
  [22/440] 20210619 https://www.lieferando.de/speisekarte/1852-landgasthof … 0 items
  [23/440] 20210625 https://www.lieferando.de/speisekarte/36grad … 0 items
  [24/440] 20210511 https://www.lieferando.de/speisekarte/84-asian-deli-vegan-kitchen … 0 items
  [25/440] 20210512 https://www.lieferando.de/speisekarte/aapka-berlin-mitte-1 … 0 items
  [26/440] 20210512 https://www.lieferando.de/speisekarte/aarna-indisches-restaurant-berli … 0 items
  [27/440] 20210511 https://www.lieferando.de/speisekarte/adria-2 … 0 items
  [28/440] 20210509 https://www.lieferando.de/speisekarte/adria-grill-1 … 0 items
  [29/440] 20210506 https://www.lieferando.de/speisekarte/adria-heimservice … 0 items
  [30/440] 20210614 https://www.lieferando.de/speisekarte/akademiesalon … 0 items
  [31/440] 20210622 https://www.lieferando.de/speisekarte/akropolis … 0 items
