Historical HTML scraper — 1 target(s)
per_period=150, max_per_target=4700


======================================================================
  Malaysia:grabfood-my  (food.grab.com/my/en/restaurant/*)
======================================================================
  Querying CDX (distributed, per_period=150, max=4700) …
  Found 2090 candidate snapshots
  [61/2090] 20200422 https://food.grab.com/my/en/restaurants?search=swensens … 0 items
  [62/2090] 20200422 https://food.grab.com/my/en/restaurants?search=texaschicken … 0 items
  [63/2090] 20200506 https://food.grab.com/my/en/restaurants?search=thai-food … 0 items
  [64/2090] 20200506 https://food.grab.com/my/en/restaurants?search=vietnamese-food … 0 items
  [65/2090] 20200422 https://food.grab.com/my/en/restaurants?search=yayoi … 0 items
  [66/2090] 20200526 https://food.grab.com/my/en/restaurants?search=yellowcab … 0 items
  [127/2090] 20200921 https://food.grab.com/my/en/restaurant/coffee-dreams-uptown-avenue-del … 0 items
  [128/2090] 20200927 https://food.grab.com/my/en/restaurant/coolblog-aeon-nilai-delivery/1- … 0 items
  [129/2090] 20200930 https://food.grab.com/my/en/restaurant/coolblog-giant-senawang-deliver … 0 items
  [131/2090] 20200808 https://food.grab.com/my/en/restaurant/danish-briyani-house-lebuh-pena … 0 items
  [132/2090] 20200920 https://food.grab.com/my/en/restaurant/dapoq-omputeh-taman-bandar-sena … 0 items
  [133/2090] 20200928 https://food.grab.com/my/en/restaurant/dapur-penyet-mydin-seremban-2-d … 0 items
  [134/2090] 20200924 https://food.grab.com/my/en/restaurant/dapur-penyet-palm-mall-delivery … 0 items
  [135/2090] 20200712 https://food.grab.com/my/en/restaurant/dasarang-korean-bbq-restaurant- … 0 items
  [136/2090] 20200925 https://food.grab.com/my/en/restaurant/dd-family-suria-sabah-delivery/ … 0 items
  [138/2090] 20200924 https://food.grab.com/my/en/restaurant/domino-s-pizza-bundusan-deliver … 0 items
  [139/2090] 20200928 https://food.grab.com/my/en/restaurant/domino-s-pizza-d-sulaman-delive … 0 items
  [140/2090] 20200808 https://food.grab.com/my/en/restaurant/domino-s-pizza-dang-wangi-deliv … 0 items
  [141/2090] 20200926 https://food.grab.com/my/en/restaurant/domino-s-pizza-itcc-delivery/1- … 0 items
  [142/2090] 20200920 https://food.grab.com/my/en/restaurant/domino-s-pizza-kota-warisan-del … 0 items
  [143/2090] 20200921 https://food.grab.com/my/en/restaurant/domino-s-pizza-muar-delivery/1- … 0 items
  [144/2090] 20200920 https://food.grab.com/my/en/restaurant/domino-s-pizza-paroi-delivery/1 … 0 items
  [145/2090] 20200918 https://food.grab.com/my/en/restaurant/domino-s-pizza-putra-nilai-deli … 0 items
  [146/2090] 20200921 https://food.grab.com/my/en/restaurant/domino-s-pizza-rasah-jaya-deliv … 0 items
  [147/2090] 20200918 https://food.grab.com/my/en/restaurant/domino-s-pizza-riverson-deliver … 0 items
  [148/2090] 20200921 https://food.grab.com/my/en/restaurant/domino-s-pizza-seremban-2-deliv … 0 items
  [149/2090] 20200815 https://food.grab.com/my/en/restaurant/dragon-i-mid-valley-southkey-no … 0 items
  [150/2090] 20200926 https://food.grab.com/my/en/restaurant/dubuyo-imago-shopping-mall-deli … 0 items
  [151/2090] 20200922 https://food.grab.com/my/en/restaurant/dumpling-cafe-lintas-plaza-non- … 0 items
  [152/2090] 20200926 https://food.grab.com/my/en/restaurant/dunkin-donuts-1borneo-delivery/ … 0 items
  [153/2090] 20200927 https://food.grab.com/my/en/restaurant/e-lite-ultimo-taman-merpati-del … 0 items
  [154/2090] 20200923 https://food.grab.com/my/en/restaurant/el-centro-jalan-haji-saman-deli … 0 items
  [155/2090] 20200807 https://food.grab.com/my/en/restaurant/face-to-face-noodle-house-suter … 0 items
  [156/2090] 20200815 https://food.grab.com/my/en/restaurant/fat-sunday-delivery/MYDD03337 … 0 items
  [157/2090] 20200919 https://food.grab.com/my/en/restaurant/feng-cha-plaza-333-delivery/1-C … 0 items
  [158/2090] 20200926 https://food.grab.com/my/en/restaurant/foxy-lady-cafe-bar-padimas-poin … 0 items
  [159/2090] 20200808 https://food.grab.com/my/en/restaurant/friends-perk-wisma-avs-delivery … 0 items
  [160/2090] 20200928 https://food.grab.com/my/en/restaurant/fyf-kopitiam-taman-orkid-delive … 0 items
  [161/2090] 20200927 https://food.grab.com/my/en/restaurant/gangnam-bbq-lintas-plaza-non-ha … 0 items
  [162/2090] 20200808 https://food.grab.com/my/en/restaurant/genki-sushi-suria-klcc-delivery … 0 items
  [163/2090] 20200920 https://food.grab.com/my/en/restaurant/german-bread-and-pizza-hs-comme … 0 items
  [164/2090] 20200921 https://food.grab.com/my/en/restaurant/ginger-thai-kitchen-mesamall-de … 0 items
  [165/2090] 20200924 https://food.grab.com/my/en/restaurant/go-noodle-house-aeon-seremban-2 … 0 items
  [166/2090] 20200808 https://food.grab.com/my/en/restaurant/gong-cha-lrt-masjid-jamek-deliv … 0 items
  [167/2090] 20200921 https://food.grab.com/my/en/restaurant/green-mug-gaya-street-delivery/ … 0 items
  [168/2090] 20200922 https://food.grab.com/my/en/restaurant/guardian-1borneo-delivery/1-CZC … 0 items
  [169/2090] 20200930 https://food.grab.com/my/en/restaurant/guardian-giant-senawang-deliver … 0 items
  [170/2090] 20200926 https://food.grab.com/my/en/restaurant/guardian-seremban-gateway-deliv … 0 items
  [171/2090] 20200930 https://food.grab.com/my/en/restaurant/guardian-suria-sabah-delivery/1 … 0 items
  [172/2090] 20200926 https://food.grab.com/my/en/restaurant/guardian-tesco-putra-nilai-deli … 0 items
  [173/2090] 20200808 https://food.grab.com/my/en/restaurant/halab-penang-lebuh-chulia-deliv … 0 items
  [174/2090] 20200925 https://food.grab.com/my/en/restaurant/halimah-nasi-kandar-royal-harbo … 0 items
  [175/2090] 20200919 https://food.grab.com/my/en/restaurant/happy-family-noodle-house-city- … 0 items
  [176/2090] 20200927 https://food.grab.com/my/en/restaurant/happy-potato-centre-point-sabah … 0 items
  [177/2090] 20200822 https://food.grab.com/my/en/restaurant/hard-rock-cafe-jalan-sultan-ism … 0 items
  [178/2090] 20200919 https://food.grab.com/my/en/restaurant/hello-stranger-cafe-the-walk-ri … 0 items
  [179/2090] 20200921 https://food.grab.com/my/en/restaurant/hokkaido-baked-cheese-tart-suri … 0 items
  [180/2090] 20200815 https://food.grab.com/my/en/restaurant/hominsan-paradigm-mall-jb-non-h … 0 items
  [181/2090] 20200924 https://food.grab.com/my/en/restaurant/hot-roll-setapak-central-delive … 0 items
  [182/2090] 20200808 https://food.grab.com/my/en/restaurant/hot-wings-kiara-163-delivery/1- … 0 items
  [183/2090] 20200919 https://food.grab.com/my/en/restaurant/house-of-asam-pedas-jb-kwsp-del … 0 items
  [184/2090] 20200925 https://food.grab.com/my/en/restaurant/hung-xing-seafood-restaurant-ja … 0 items
  [185/2090] 20200919 https://food.grab.com/my/en/restaurant/i-degree-cafe-restaurant-teck-g … 0 items
  [186/2090] 20200928 https://food.grab.com/my/en/restaurant/i-love-yoo-aeon-nilai-delivery/ … 0 items
  [187/2090] 20200924 https://food.grab.com/my/en/restaurant/i-love-yoo-setapak-central-deli … 0 items
  [188/2090] 20200922 https://food.grab.com/my/en/restaurant/i-love-yoo-wetex-parade-deliver … 0 items
  [189/2090] 20200918 https://food.grab.com/my/en/restaurant/i-tea-hilltop-delivery/1-CZAXT8 … 0 items
  [190/2090] 20200929 https://food.grab.com/my/en/restaurant/ice-queen-lintas-square-non-hal … 0 items
  [191/2090] 20200808 https://food.grab.com/my/en/restaurant/ichikakuya-uoa-business-park-no … 0 items
  [192/2090] 20200808 https://food.grab.com/my/en/restaurant/idealite-queensbay-mall-deliver … 0 items
  [193/2090] 20200919 https://food.grab.com/my/en/restaurant/ikan-boulu-tanpa-tulang-plaza-m … 0 items
  [194/2090] 20200924 https://food.grab.com/my/en/restaurant/indahmanis-label-sticker-packag … 0 items
  [195/2090] 20200919 https://food.grab.com/my/en/restaurant/islamic-restaurant-taman-penamp … 0 items
  [196/2090] 20200808 https://food.grab.com/my/en/restaurant/j-co-donuts-berjaya-times-squar … 0 items
  [197/2090] 20200808 https://food.grab.com/my/en/restaurant/janxden-greenlife-jalan-chow-th … 0 items
  [198/2090] 20200926 https://food.grab.com/my/en/restaurant/jgolf-publika-delivery/1-CZEHLT … 0 items
  [199/2090] 20200922 https://food.grab.com/my/en/restaurant/jin-yin-hao-plaza-333-non-halal … 0 items
  [200/2090] 20200930 https://food.grab.com/my/en/restaurant/johnny-s-restaurant-aeon-nilai- … 0 items
  [201/2090] 20200929 https://food.grab.com/my/en/restaurant/johnny-s-restaurant-aeon-seremb … 0 items
  [202/2090] 20200920 https://food.grab.com/my/en/restaurant/johnny-s-restaurant-palm-mall-d … 0 items
  [203/2090] 20200923 https://food.grab.com/my/en/restaurant/jom-penyet-aeropod-delivery/1-C … 0 items
  [204/2090] 20200924 https://food.grab.com/my/en/restaurant/jothy-s-fish-head-curry-banana- … 0 items
  [205/2090] 20200923 https://food.grab.com/my/en/restaurant/just-tasty-kitchen-jalan-toman- … 0 items
  [206/2090] 20200919 https://food.grab.com/my/en/restaurant/just-tea-cyber-square-2-deliver … 0 items
  [207/2090] 20200924 https://food.grab.com/my/en/restaurant/kafe-selera-rika-putra-indah-de … 0 items
