/Users/erwenchen/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Historical HTML scraper — 1 target(s)
per_period=20, max_per_target=500


======================================================================
  Malaysia:grabfood-my  (food.grab.com/my/en/restaurant/*)
======================================================================
  [1/380] 20200521 https://food.grab.com/my/en/restaurant/crust-163-retail-park-delivery/ … 57 items
  [2/380] 20200521 https://food.grab.com/my/en/restaurant/ssi-wifi-arabic-restaurant-stre … 146 items
  [3/380] 20200521 https://food.grab.com/my/en/restaurant/yin-s-sourdough-bakery-cafe-del … 51 items
  [4/380] 20200422 https://food.grab.com/my/en/restaurants … 0 items
  [5/380] 20200518 https://food.grab.com/my/en/restaurants?lng=en&search=secret%20recipe& … 0 items
  [6/380] 20200422 https://food.grab.com/my/en/restaurants?category=bubble-tea-29 … 0 items
  [7/380] 20200502 https://food.grab.com/my/en/restaurants?category=burger-33 … 0 items
  [8/380] 20200501 https://food.grab.com/my/en/restaurants?category=chinese-45 … 0 items
  [9/380] 20200422 https://food.grab.com/my/en/restaurants?category=coffee-47 … 0 items
  [10/380] 20200501 https://food.grab.com/my/en/restaurants?category=dessert-55 … 0 items
  [11/380] 20200502 https://food.grab.com/my/en/restaurants?category=fast-food-62 … 0 items
  [12/380] 20200605 https://food.grab.com/my/en/restaurants?category=filipino-63 … 0 items
  [13/380] 20200422 https://food.grab.com/my/en/restaurants?category=hainanese-chicken-ric … 0 items
  [14/380] 20200507 https://food.grab.com/my/en/restaurants?category=hot-deals-237 … 0 items
  [15/380] 20200501 https://food.grab.com/my/en/restaurants?category=indian-86 … 0 items
  [16/380] 20200502 https://food.grab.com/my/en/restaurants?category=indonesian-87 … 0 items
  [17/380] 20200505 https://food.grab.com/my/en/restaurants?category=italian-88 … 0 items
  [18/380] 20200501 https://food.grab.com/my/en/restaurants?category=japanese-89 … 0 items
  [19/380] 20200501 https://food.grab.com/my/en/restaurants?category=korean-96 … 0 items
  [20/380] 20200531 https://food.grab.com/my/en/restaurants?category=mexican-110 … 0 items
  [21/380] 20200928 https://food.grab.com/my/en/restaurant/15-minutes-bake-royal-plaza-put … fetch fail
  [22/380] 20200929 https://food.grab.com/my/en/restaurant/1981-florist-cafe-riverson-deli … fetch fail
  [23/380] 20200808 https://food.grab.com/my/en/restaurant/4fingers-crispy-chicken-masjid- … fetch fail
  [24/380] 20200924 https://food.grab.com/my/en/restaurant/899-hokkien-mee-kobusak-non-hal … fetch fail
  [25/380] 20200920 https://food.grab.com/my/en/restaurant/a-container-cafe-jalan-kilang-d … fetch fail
  [26/380] 20200919 https://food.grab.com/my/en/restaurant/a-w-bandar-baru-nilai-delivery/ … fetch fail
  [27/380] 20200928 https://food.grab.com/my/en/restaurant/a-w-mydin-seremban-2-delivery/1 … 36 items
  [28/380] 20200924 https://food.grab.com/my/en/restaurant/a-w-seremban-dt-delivery/1-CY32 … 36 items
  [29/380] 20200921 https://food.grab.com/my/en/restaurant/a1-chicken-rice-imago-shopping- … 33 items
