[1/37] CONFIRMED_LIVE   real_items=180  selekt chicken chiswick (deliveroo-uk)
[2/37] DEAD_REDIRECTED  real_items=0    thai yum yum (deliveroo-uk)
[3/37] CONFIRMED_LIVE   real_items=176  chinese express addlestone (deliveroo-uk)
[4/37] CONFIRMED_LIVE   real_items=183  china de cusine (deliveroo-uk)
[5/37] CONFIRMED_LIVE   real_items=157  abbey cafe (deliveroo-uk)
[6/37] CONFIRMED_LIVE   real_items=134  the grill horn lane (deliveroo-uk)
[7/37] CONFIRMED_LIVE   real_items=78   hadrians italian cuisine acton (deliveroo-uk)
[8/37] DEAD_REDIRECTED  real_items=0    pizza hut delivery acton 7535 (deliveroo-uk)
[9/37] CONFIRMED_LIVE   real_items=130  bayleaf indian cuisine (deliveroo-uk)
[10/37] DEAD_REDIRECTED  real_items=0    burger link (deliveroo-uk)
[11/37] CONFIRMED_LIVE   real_items=160  papa johns addlestone wey (deliveroo-uk)
[12/37] DEAD_REDIRECTED  real_items=0    tossed leadenhall street (deliveroo-uk)
[13/37] CONFIRMED_LIVE   real_items=57   dominic pizza station rd (deliveroo-uk)
[14/37] DEAD_REDIRECTED  real_items=0    xpress curry ltd (deliveroo-uk)
[15/37] CONFIRMED_LIVE   real_items=123  massachusetts fried chicken (deliveroo-uk)
[16/37] DEAD_REDIRECTED  real_items=0    sushi lane brick lanes (deliveroo-uk)
[17/37] DEAD_REDIRECTED  real_items=0    pizza town high street (deliveroo-uk)
[18/37] DEAD_REDIRECTED  real_items=0    chicken cottage acton (deliveroo-uk)
[19/37] DEAD_REDIRECTED  real_items=0    tifin box (deliveroo-uk)
[20/37] DEAD_REDIRECTED  real_items=0    coughlans bakery cro (deliveroo-uk)
[21/37] CONFIRMED_LIVE   real_items=49   lailaty ec m (deliveroo-uk)
[22/37] CONFIRMED_LIVE   real_items=95   sophies cafe (deliveroo-uk)
[23/37] DEAD_REDIRECTED  real_items=0    jangos (deliveroo-uk)
[24/37] CONFIRMED_LIVE   real_items=97   mooboo addlestone (deliveroo-uk)
[25/37] DEAD_REDIRECTED  real_items=0    walid kitchen lebanese cuisine aldgate (deliv
[26/37] CONFIRMED_LIVE   real_items=63   el kervan grill house (deliveroo-uk)
[27/37] DEAD_REDIRECTED  real_items=0    tai kitchen at the bell (deliveroo-uk)
[28/37] CONFIRMED_LIVE   real_items=39   xian biang biang noodles (deliveroo-uk)
[29/37] CONFIRMED_LIVE   real_items=67   top stream anerley (deliveroo-uk)
[30/37] DEAD_REDIRECTED  real_items=0    ting tong thai (deliveroo-uk)
[31/37] CONFIRMED_LIVE   real_items=8    ghost pizza (deliveroo-uk)
[32/37] CONFIRMED_LIVE   real_items=56   grain kitchen harrow place (deliveroo-uk)
[33/37] CONFIRMED_LIVE   real_items=47   mr wingzzz (deliveroo-uk)
[34/37] DEAD_REDIRECTED  real_items=0    smash patties (deliveroo-uk)
[35/37] DEAD_REDIRECTED  real_items=0    a burgers by taster kentish town (deliveroo-u
[36/37] DEAD_REDIRECTED  real_items=0    hawkyns restaurant by atul kochhar (deliveroo
[37/37] DEAD_REDIRECTED  real_items=0    terra brazil brazilian pizza (deliveroo-uk)

19 confirmed live, 18 dead-on-recheck (kept in file, flagged)
